Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
282,10,Nov 7 2020,12:00 PM,Sat,(13) Indiana,38,,(23) Michigan,21,
283,10,Nov 7 2020,12:00 PM,Sat,Iowa,49,,Michigan State,7,
284,10,Nov 7 2020,7:00 PM,Sat,(17) Iowa State,38,,Baylor,31,
285,10,Nov 7 2020,12:00 PM,Sat,(25) Liberty,38,@,Virginia Tech,35,
286,10,Nov 7 2020,12:00 PM,Sat,Louisiana,27,,Arkansas State,20,Cajun Field - Lafayette Louisiana
287,10,Nov 7 2020,2:30 PM,Sat,(16) Marshall,51,,Massachusetts,10,
288,10,Nov 7 2020,3:30 PM,Sat,Maryland,35,@,Penn State,19,
289,10,Nov 7 2020,12:00 PM,Sat,Memphis,34,,South Florida,33,
290,10,Nov 7 2020,3:30 PM,Sat,Minnesota,41,@,Illinois,14,
291,10,Nov 7 2020,3:30 PM,Sat,Mississippi State,24,,Vanderbilt,17,
292,10,Nov 7 2020,12:00 PM,Sat,North Carolina,56,@,Duke,24,
293,10,Nov 7 2020,12:00 PM,Sat,Northwestern,21,,Nebraska,13,
294,10,Nov 7 2020,7:30 PM,Sat,(4) Notre Dame,47,,(1) Clemson,40,
295,10,Nov 7 2020,7:30 PM,Sat,(3) Ohio State,49,,Rutgers,27,
296,10,Nov 7 2020,3:30 PM,Sat,(19) Oklahoma,62,,Kansas,9,
297,10,Nov 7 2020,4:00 PM,Sat,(14) Oklahoma State,20,@,Kansas State,18,
298,10,Nov 7 2020,7:30 PM,Sat,(12) Oregon,35,,Stanford,14,
299,10,Nov 7 2020,4:00 PM,Sat,Pittsburgh,41,@,Florida State,17,
300,10,Nov 7 2020,12:00 PM,Sat,(20) Southern California,28,,Arizona State,27,
301,10,Nov 7 2020,12:00 PM,Sat,(18) Southern Methodist,47,@,Temple,23,Lincoln Financial Field - Philadelphia Pennsylvania
302,10,Nov 7 2020,3:00 PM,Sat,Southern Mississippi,24,,North Alabama,13,
303,10,Nov 7 2020,12:00 PM,Sat,(22) Texas,17,,West Virginia,13,
304,10,Nov 7 2020,7:00 PM,Sat,(7) Texas A&M,48,@,South Carolina,3,
305,10,Nov 7 2020,3:30 PM,Sat,Texas Christian,34,,Texas Tech,18,
306,10,Nov 7 2020,12:00 PM,Sat,Tulane,38,@,East Carolina,21,
